Subject,SubName,Condition,SNS,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain,Include,IRI_Total,IRI_EC,IRI_PT,IRI_distress,IRI_fantasy,MPSS_Total,MPSS_friend,RSE
1,153,-1,1,19,1,19,0,0,1122,3,0,0,8,0,4.25,1,,,,,,,,
1,153,-1,1,20,1,19,1,1,438,0,0,-8.75,10,-8.75,0,1,,,,,,,,
1,153,-1,1,21,1,19,1,1,828,1,1,4,4,-8,0,1,,,,,,,,
1,153,-1,1,22,1,19,0,0,298,3,0,0,17,0,9,1,,,,,,,,
1,153,-1,1,23,1,19,1,0,799,3,1,12,12,-18,0,1,,,,,,,,
1,153,-1,1,24,1,19,0,0,1493,3,1,10,10,0,6,1,,,,,,,,
1,153,-1,1,25,1,19,0,,,,0,0,13,0,6,1,,,,,,,,
1,153,-1,1,26,1,19,1,0,345,3,0,-15.75,9,-15.75,0,1,,,,,,,,
1,153,-1,1,27,1,19,1,1,742,1,1,5,5,-8.13,0,1,,,,,,,,
1,153,-1,1,28,1,19,1,0,644,3,1,4,4,-4,0,1,,,,,,,,
1,153,-1,1,29,1,19,0,,,,1,4,4,0,2.25,1,,,,,,,,
1,153,-1,1,30,1,19,1,1,727,0,0,-5,5,-5,0,1,,,,,,,,
1,153,-1,1,1,1,19,0,1,460,0,0,0,30,0,12,1,,,,,,,,
1,153,-1,1,2,1,19,1,1,1056,0,0,-6,12,-6,0,1,,,,,,,,
1,153,-1,1,3,1,19,1,0,1702,3,1,4,4,-5,0,1,,,,,,,,
1,153,-1,1,4,1,19,0,0,491,3,0,0,17,0,10,1,,,,,,,,
1,153,-1,1,5,1,19,1,1,329,1,1,2,2,-3.25,0,1,,,,,,,,
1,153,-1,1,6,1,19,1,0,430,3,0,-6,6,-6,0,1,,,,,,,,
1,153,-1,1,7,1,19,1,1,492,1,1,6,6,-4.5,0,1,,,,,,,,
1,153,-1,1,8,1,19,1,1,601,0,0,-2,4,-2,0,1,,,,,,,,
1,153,-1,1,9,1,19,0,0,823,3,1,4,4,0,2,1,,,,,,,,
1,153,-1,1,10,1,19,1,1,564,1,1,9,9,-4.5,0,1,,,,,,,,
1,153,-1,1,11,1,19,1,0,1187,3,0,-24,12,-24,0,1,,,,,,,,
1,153,-1,1,12,1,19,0,1,1016,1,1,22,22,0,10,1,,,,,,,,
1,153,-1,1,13,1,19,1,1,966,1,1,4,4,-7,0,1,,,,,,,,
1,153,-1,1,14,1,19,1,,,,1,2,2,-0.75,0,1,,,,,,,,
1,153,-1,1,15,1,19,1,1,432,0,0,-2.25,2,-2.25,0,1,,,,,,,,
1,153,-1,1,16,1,19,1,0,478,3,0,-9.38,5,-9.38,0,1,,,,,,,,
1,153,-1,1,17,1,19,1,1,99,0,0,-15,8,-15,0,1,,,,,,,,
1,153,-1,1,18,1,19,1,1,706,1,1,8,8,-5,0,1,,,,,,,,
1,153,-1,1,19,1,19,1,0,319,3,1,10,10,-13.75,0,1,,,,,,,,
1,153,-1,1,20,1,19,0,1,949,0,0,0,8,0,3,1,,,,,,,,
